,reward1,reward2
366,4.127265734,3.839230568
367,4.028670592,3.846826816
368,4.048749044,3.733883295
369,4.035260884,3.819334493
370,4.136375852,3.860211113
371,4.077826177,3.83793885
372,4.000523032,3.849735752
373,4.063575399,3.875413297
374,4.039188232,3.879864235
375,4.125917849,3.783323163
376,4.017054827,3.955773004
377,4.076273736,3.825595819
378,4.125308823,3.684677725
379,4.183982818,3.686232563
380,4.105794455,3.855666034
381,4.157871938,3.789771423
382,4.090095871,3.836951436
383,3.880489878,3.837331597
384,4.026502882,3.676042241
385,4.103272737,3.768734052
386,3.985726374,3.779695401
387,4.191834209,3.731633582
388,4.045917398,3.63016047
389,3.958028358,3.601245903
390,4.057300438,3.562986552
391,4.064824357,3.645574731
392,4.024676159,3.605609462
393,4.103776783,3.569760842
394,4.173519565,3.6251497
395,4.330851086,3.566932601
396,4.148236234,3.612650157
397,4.237129364,3.672073736
398,4.190399291,3.652757547
399,4.184017738,3.509338264
400,4.371660984,3.360135701
401,4.314366787,3.642351073
402,4.181955859,3.468124549
403,4.241184196,3.568290037
404,4.16739749,3.535046931
405,3.994079545,3.678231037
406,4.202387315,3.627088865
407,4.213373452,3.724188403
408,4.05234008,3.559216028
409,3.920719409,3.680902353
410,4.060444905,3.562371639
411,4.095932942,3.579531167
412,4.081414851,3.713071277
413,4.047260099,3.572074075
414,4.068985192,3.645389531
415,4.110443194,3.65291271
416,3.988859714,3.555503885
417,4.116878008,3.678572497
418,3.955472367,3.681519757
419,3.94761345,3.783977072
420,3.994276174,3.65692134
421,4.093649204,3.808066755
422,4.052199898,3.718692124
423,4.080101148,3.823279536
424,4.123348116,3.678740454
425,4.227838878,3.840076954
426,4.220358391,3.82062905
427,4.244492657,3.811320678
428,4.317395036,3.893605389
429,4.121802974,3.817518838
430,4.128429906,3.857291271
431,4.201712994,3.938079711
432,4.140392583,3.97113293
433,4.113790503,3.916511965
434,4.273171962,3.928938017
435,4.229476956,3.967422966
436,4.274059219,3.966295556
437,4.300627581,3.95872024
438,4.137023924,3.962195172
439,4.065039581,4.009674946
440,4.133500054,3.923338351
441,4.060492294,3.878096746
442,4.130175775,3.806166019
443,4.204061088,3.860831358
444,4.1525616,3.781549487
445,4.117150338,3.755761787
446,4.193925717,3.946435784
447,4.082177124,3.72874682
448,4.160705808,3.962554577
449,4.232808066,3.992117478
450,4.277114866,3.849458319
451,4.207700698,3.852493652
452,4.197500713,3.985261568
453,4.343638729,3.861496397
454,4.210537859,3.929514434
455,4.340541095,3.884622711
456,4.289873575,4.059232056
457,4.18263465,3.935480501
458,4.169605182,3.907443423
459,4.01132068,3.845926135
460,3.516628534,4.018005085
461,3.490945837,3.924554692
462,3.662497973,4.015551205
463,3.63792791,4.011033611
464,3.680366419,3.939003765
465,3.872200152,3.983664523
466,3.889492169,4.035424254
467,3.91744392,3.986050194
468,3.855354938,3.95798584
469,3.958913321,4.052123234
470,4.021571976,3.880613421
471,4.098555368,4.129645883
472,4.23650901,4.257448852
473,4.080897914,4.080220487
474,4.206564383,4.106806458
475,4.394149284,4.173841812
476,4.196375628,4.006121927
477,4.362868378,4.126760347
478,4.196078211,4.151265374
479,4.277176665,4.153536206
480,4.177456364,4.112954705
481,4.131607836,4.188644517
482,4.156799601,4.119199935
483,4.332188389,4.10314802
484,4.23515206,4.172776532
485,4.322531172,4.04248232
486,4.18686716,4.31935942
487,4.157770161,4.084131815
488,4.191346607,4.071061836
489,4.242182051,4.112955954
490,4.22055446,4.145381084
491,4.258949908,4.273135437
492,4.196279022,4.087922981
493,4.178097749,4.131052624
494,4.200620815,4.258038519
495,4.341788126,4.174474101
496,4.322847478,4.083791977
497,4.242747065,4.18972838
498,4.189940992,4.242769083
499,4.348457278,4.204550966
500,4.337590595,4.246295036
501,4.413142549,4.207949493
502,4.245780053,4.167994599
503,4.295149442,4.278799805
504,4.20896962,4.267820322
505,4.223816056,4.301182758
506,4.340101234,4.109510428
507,4.308911355,4.216790488
508,4.295427493,4.212408247
509,4.285201751,4.202934904
510,4.166438345,4.218964247
511,4.366781966,4.163572792
512,4.314971556,4.048607269
513,4.237381248,4.039831087
514,4.366599232,3.985425665
515,4.210941912,3.996960322
516,4.179107419,4.222621042
517,4.220596834,4.159148528
518,4.322299274,4.240224921
519,4.194119593,4.120179234
520,4.250534176,4.148333675
521,4.236681746,4.236601171
522,4.391549022,4.117398396
523,4.387368886,4.157505562
524,4.236857072,4.167865253
525,4.284311314,4.139046349
526,4.249145261,4.158303619
527,4.386893052,4.088836133
528,4.296343092,4.218785911
529,4.230395314,4.11496979
530,4.227965632,4.184103811
531,4.163196203,4.168463104
532,4.193437991,4.192177309
533,4.164055011,4.077899771
534,4.323743733,4.260971197
535,4.202649612,4.174534095
536,4.368462887,4.116942941
537,4.240091701,4.119093819
538,4.343476672,4.016300696
539,4.343023058,4.164321995
540,4.240106656,4.237508006
541,4.296824947,4.224976182
542,4.415182859,4.291958501
543,4.358231605,4.284183456
544,4.333384293,4.060318812
545,4.262816371,4.215517098
546,4.382473609,4.199619505
547,4.164040201,4.237478715
548,4.306824865,4.240100462
549,4.319585626,4.167563581
550,4.200084518,4.209303537
551,4.315878116,4.154490855
552,4.212129146,4.16403001
553,4.205919663,4.225969086
554,4.333736994,4.193802385
555,4.308111762,4.249800262
556,4.342939785,4.20938409
557,4.330472558,4.165025891
558,4.307369223,4.175542539
559,4.24982512,4.216751398
560,4.268183538,4.255330034
561,4.339463154,4.226518048
562,4.253889204,4.277852027
563,4.309764814,4.301099481
564,4.368096565,4.208419981
565,4.341339782,4.188759319
566,4.244015581,4.110048332
567,4.273236416,4.128928697
568,4.201402983,4.087426163
569,4.098412138,4.192560095
570,3.761840443,4.20396056
571,4.068588861,4.250636051
572,4.031231466,4.107698146
573,4.064311696,4.23130231
574,4.104399778,4.254844909
575,4.244941135,4.049004591
576,4.13840545,4.221495858
577,4.242055306,4.193188383
578,4.310635174,4.086850456
579,4.246266219,4.186818939
580,4.176186458,4.2033679
581,4.2492062,4.055377336
582,4.303094466,4.304890004
583,4.390377781,4.262214181
584,4.332587618,4.257149018
585,4.296564046,4.240575026
586,4.402508145,4.176233602
587,4.342886296,4.321772487
588,4.31034265,4.167878531
589,4.412931869,4.31156299
590,4.375628597,4.284029909
591,4.379461156,4.225583124
592,4.366709443,4.298557438
593,4.30318497,4.263004393
594,4.357531003,4.250877782
595,4.356683386,4.365633407
596,4.296200013,4.255654453
597,4.39345966,4.213870662
598,4.302629027,4.199453793
599,4.171831443,4.222686095
600,4.372408356,4.230338268
601,4.3377807,4.281123029
602,4.263779422,4.310050184
603,4.396177897,4.288638224
604,4.342709794,4.199211951
605,4.259851405,4.229704799
606,4.473975752,4.299547257
607,4.186934635,4.190175724
608,4.460948532,4.257682419
609,4.294417042,4.22446418
610,4.331906156,4.292429959
611,4.3599533,4.194288044
612,4.36635445,4.130423828
613,4.398899406,4.196672117
614,4.248520284,4.16791825
615,4.230640421,4.131266339
616,4.470681633,4.102473177
617,4.335773321,4.002094247
618,4.302348525,4.020899649
619,4.274725223,4.160241167
620,4.333273388,4.180294049
621,4.294069636,4.084624469
622,4.348773981,4.209400582
623,4.421730884,4.170652558
624,4.401116666,4.088002185
625,4.385932111,4.242365516
626,4.385858084,4.1371512
627,4.258731549,4.178108244
628,4.446533281,4.062369562
629,4.264229455,4.143898432
630,4.455638529,4.121536169
631,4.383674366,4.058638502
632,4.438189997,4.028847906
633,4.25639474,4.086099537
634,4.359813279,4.197005189
635,4.297999109,4.054749569
636,4.353873072,4.302943611
637,4.297579726,4.283863696
638,4.321903945,4.290697263
639,4.314661437,4.315879558
640,4.298682099,4.277358611
641,4.370922632,4.357294031
642,4.290926321,4.328079385
643,4.388314231,4.360232604
644,4.121373064,4.304790176
645,4.322471134,4.30982524
646,4.338061933,4.259107682
647,4.325088319,4.318223241
648,4.261114431,4.174602974
649,4.256574654,4.093075272
650,4.246404914,4.152300831
651,4.122915564,4.132368196
652,4.307862855,4.128172581
653,4.265451611,4.138533017
654,4.342514475,4.2652584
655,4.384867227,4.213053075
656,4.338633567,4.351106735
657,4.417861777,4.339668133
658,4.358280154,4.179428905
659,4.317509764,4.120538225
660,4.27300166,4.226117544
661,4.459147018,4.196494655
662,4.205430013,4.264236701
663,4.241984599,4.373520197
664,4.266326914,4.342764129
665,4.258215548,4.28013108
666,4.301575695,4.310845065
667,4.410869902,4.353322211
668,4.423719311,4.331632489
669,4.378766926,4.228489866
670,4.421392474,4.328004423
671,4.261017268,4.29370306
672,4.214981673,4.282490349
673,4.10674908,4.307795312
674,4.236799695,4.35173905
675,4.171873718,4.404140024
676,4.199814707,4.375911043
677,4.238457576,4.367625875
678,4.343268317,4.266626176
679,4.383939178,4.248461026
680,4.561656932,4.282976266
681,4.293330208,4.21823842
682,4.320110467,4.288199885
683,4.196548271,4.258440339
684,4.094614364,4.329340055
685,4.240425637,4.34152352
686,3.953652071,4.304137365
687,4.124290761,4.345652095
688,4.169381031,4.385429837
689,4.201140454,4.375954699
690,4.194052646,4.365468261
691,4.309870486,4.334989124
692,4.259103071,4.272925556
693,4.343153845,4.291659084
694,4.263173283,4.396969392
695,4.086380243,4.324351712
696,4.265245774,4.293678599
697,3.890682135,4.227385058
698,4.144593207,4.204912593
699,4.257724744,4.297305175
700,4.116854072,4.233463397
701,4.066027636,4.325368944
702,4.138989751,4.259366346
703,4.088815802,4.278326797
704,4.033067151,4.275626944
705,4.153610302,4.439821588
706,3.998049122,4.342543194
707,4.171528295,4.259455165
708,4.041759708,4.334472161
709,4.342269335,4.381987127
710,4.133092567,4.253401206
711,4.135832096,4.38023001
712,4.115289559,4.351588953
713,3.999985321,4.365183325
714,4.120903215,4.413298713
